2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: loginDocumentTitleOption (str): default
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: loginDocumentTitleText (str): 
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: loginFooterOption (str): default
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: loginFooterText (str): 
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: loginPasswordHint (str): 
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: login_content (str): 
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: mako_cache_path (str): /opt/splunk/var/run/splunk/mako_cache
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: master_guid (NoneType): None
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: maxSockets (int): 0
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: maxThreads (int): 0
2024-02-06 03:57:14,956 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: max_view_cache_size (int): 1000
2024-02-06 03:57:14,957 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: mgmtHostPort (str): 127.0.0.1:8089
2024-02-06 03:57:14,957 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: minify_css (bool): True
2024-02-06 03:57:14,957 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: minify_js (bool): True
2024-02-06 03:57:14,957 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: module_dir (str): share/splunk/search_mrsparkle/modules
2024-02-06 03:57:14,957 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: mrsparkle_path (str): /opt/splunk/share/search/mrsparkle
