2024-02-06 03:05:02,629 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enableWebDebug (bool): False
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_autocomplete_login (bool): False
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_gzip (bool): True
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_insecure_login (bool): False
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_insecure_pdfgen (bool): False
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_pivot_adhoc_acceleration (bool): True
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_proxy_write (bool): True
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_risky_command_check (bool): True
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_risky_command_check_dashboard (bool): True
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_secure_entity_move (bool): True
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enable_splunk_dashboard_app_feature (bool): True
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enabled_decomposers (str): plot
2024-02-06 03:05:02,630 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: enforce_dashboards_csp (bool): True
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: engine.autoreload.on (bool): False
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: error_page.default (method): <bound method ErrorController.handle_error of <splunk.appserver.mrsparkle.controllers.error.ErrorController object at 0x7ff23e2163d0>>
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: etc_path (str): /opt/splunk/etc
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: firstTimeLoginMessage (str): 
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: firstTimeLoginMessageOption (str): default
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: flash_major_version (int): 9
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: flash_minor_version (int): 0
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: flash_revision_version (int): 124
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: forceHttp10 (str): auto
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: guid (NoneType): None
2024-02-06 03:05:02,631 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: httpport (int): 8065
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: includeSubDomains (bool): False
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: install_type (str): UNKNOWN_INSTALL_TYPE
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: instance_type (str): UNKNOWN
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: is_forwarder_license (bool): False
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: is_free_license (bool): False
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: is_trial_license (bool): True
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: job_default_auto_cancel (int): 62
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: job_max_polling_interval (int): 1000
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: job_min_polling_interval (int): 100
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: js_logger_mode (str): None
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: js_logger_mode_server_end_point (str): util/log/js
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: js_logger_mode_server_max_buffer (int): 100
2024-02-06 03:05:02,632 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: js_logger_mode_server_poll_buffer (int): 1000
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: jschart_results_limit (int): 10000
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: jschart_series_limit (int): 100
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: jschart_test_mode (bool): False
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: jschart_truncation_limit.chrome (int): 50000
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: jschart_truncation_limit.firefox (int): 50000
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: jschart_truncation_limit.ie11 (int): 50000
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: jschart_truncation_limit.safari (int): 50000
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: keepAliveIdleTimeout (int): 7200
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: license_desc (str): UNKNOWN_LICENSE_DESCRIPTION
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: license_labels (list): []
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: license_state (str): OK
2024-02-06 03:05:02,633 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: listenOnIPv6 (bool): False
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: log.access_maxfiles (int): 5
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: log.access_maxsize (int): 25000000
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: log.error_maxfiles (int): 5
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: log.error_maxsize (int): 25000000
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: log.screen (bool): True
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: loginBackgroundImageOption (str): default
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: loginCustomBackgroundImage (str): 
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: loginCustomLogo (str): 
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: loginDocumentTitleOption (str): default
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: loginDocumentTitleText (str): 
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: loginFooterOption (str): default
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: loginFooterText (str): 
2024-02-06 03:05:02,634 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: loginPasswordHint (str): 
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: login_content (str): 
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: mako_cache_path (str): /opt/splunk/var/run/splunk/mako_cache
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: master_guid (NoneType): None
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: maxSockets (int): 0
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: maxThreads (int): 0
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: max_view_cache_size (int): 1000
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: mgmtHostPort (str): 127.0.0.1:8089
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: minify_css (bool): True
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: minify_js (bool): True
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: module_dir (str): share/splunk/search_mrsparkle/modules
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: mrsparkle_path (str): /opt/splunk/share/search/mrsparkle
2024-02-06 03:05:02,635 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: os_name (str): UNKNOWN_OS_NAME
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: override_JSON_MIME_type_with_text_plain (bool): True
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: pdfgen_is_available (int): 1
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: pivot_adhoc_acceleration_mode (str): Elastic
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: preload (bool): False
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: privKeyPath (str): $SPLUNK_HOME/etc/auth/splunkweb/privkey.pem
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: productMenuLabel (str): My Splunk
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: productMenuUriPrefix (str): https://splunkcommunities.force.com
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: product_type (str): splunk
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: remoteGroupsMatchExact (int): 0
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: remoteGroupsQuoted (bool): False
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: remoteUser (str): REMOTE-USER
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: remoteUserMatchExact (int): 0
2024-02-06 03:05:02,636 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: request.show_tracebacks (bool): True
